product_id,category,sub_category,user,rating,comment
2596,Thời Trang Nam,Đồ Bộ,hoa_tran_1995,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
146,Thời Trang Nam,Đồ Bộ,h*****i,5,", Chất lượng sản phẩm tuyệt vời"
1122,Thời Trang Nam,Quần Dài/Quần Âu,trile0919,5,"Quần đẹp ,giao đúng màu ,giao siêu nhanh nhưng mà vải  có hơi mỏng đường may chắc lắm nha 1m66 46kg vừa hín size S"
136,Thời Trang Nam,Áo Khoác,ngocthuy151220,5,"Đặt sale được giá 199k nên rất ưng. Tuy nhiên, áo mặc hơi nóng, size cũng to hơn xíu."
888,Thời Trang Nam,Áo,hoangtrung8,5,Áo khá là đẹp mặc mát áo phù hợp cho mọi lứa tuổi mng mua áo thì ghé qua ủng hộ shop nhé!!! ❤️❤️❤️
1446,Thời Trang Nam,Quần jeans,ben0ic_aiu,5,Bshsjdn
1277,Thời Trang Nam,Quần jeans,ho.thuy,5,"Sét áo ren 2 dây quân tây ống loe
Giá 340.000
- Màu sắc:  nhiều màu
- Chất liệu thun cotton + ren
- Co giãn: có+
- Kích thước:nhiều size"
1029,Thời Trang Nam,Áo Khoác,studioledang,5,Hang dung mo ta dep va chat luong giao nhanh goi dep se ung ho sau
743,Thời Trang Nam,Áo Khoác,dinhvanlam94,5,"Lần đầu mua đồ của shop mà rất ưng, màu xanh than và mài đen đều đẹp nha mọi ng"
266,Thời Trang Nam,Áo Khoác,t*****n,5,2 lớp mặc ổn. Chứ dày quá mặc nóng đấyyyyyyyyyyyyyyyyyyyyyy
79,Thời Trang Nam,Vớ/ Tất,saotb1994,5,", Thời gian giao hàng rất nhanh"
1130,Thời Trang Nam,Vớ/ Tất,trinhvanthang2612,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
848,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",tuduong163,5,áo đẹp xĩuuuuu rất đáng tiền nhaaaaaaaaa giao nhanh nữa ạaaaa
3094,Thời Trang Nam,Đồ Bộ,phucsanh1976,5,", Chất lượng sản phẩm tuyệt vời"
