page_id,pro_idx,item_id,shop_id,product_name,category_name,number_rating,page_no,user_id,user_name,comment_id,created_time,user_rating,user_comment,user_tag_content
0,22,11515342300,308727507,Sách - Sổ tay kiến thức 6 môn Toán Lí Hóa Văn Sinh Anh lớp 10,Education & School,738.0,15.0,184130753.0,ngochongduong11111,6179800788,1633355820.0,5.0,"Dạ sách dễ hiểu, xin lỗi vì em quên chụp sách nchung tốt lại vừa giao nhanh 10 điểm cho shop 💕💕💕💕💕💕",2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn|6*Shop phục vụ rất tốt|3*Rất đáng tiền|4*Thời gian giao hàng rất nhanh
86,5211,1492328101,41925459,Sách- Giáo Trình Hán Ngữ BOYA Sơ Cấp Tập 1 - MCBooks,Language Learning & Dictionaries,55.0,1.0,11152975.0,shiki1802,4901765168,1622026524.0,5.0,"Giao hàng nhanh, chất lượng sách ok. .....................",|
7,447,2639144377,15374634,Sách - Sticker Phát triển chỉ số thông minh IQ dành cho trẻ 2-6 tuổi (6q lẻ tùy chọn),"Careers, Self Help & Personal Development",419.0,5.0,211900176.0,anhmup2512,5541579353,1627726985.0,5.0,"Hình ảnh chỉ mang tính chất nhận xu , sách đẹp , đóng gói rất đẹp chắc chắn , sẽ ủng hộ shop tiếp",|
15,909,1815176095,45194730,"[Mã LIFEAZ2010 giảm 10% đơn 150k] Sách - Dear, doctor ( Quãng đời còn lại xin được chỉ giáo nhiều hơn )",Classic Literature,276.0,2.0,337812739.0,h*****g,6323197622,1634531427.0,5.0,"Sách mới còn bọc kín bên ngoài lun, shop gói cũng khá kỉ, mik sẽ ủng hộp shop tiếp 🥺",|
44,2651,3736456989,188606801, Sách - Lập Kế Hoạch Marketing Hiệu Quả,Business & Investment,31.0,2.0,349019741.0,t*****3,6298325832,1634312581.0,5.0,Sản phẩm tuyêt voi giao hang nhanh sach kha hay nen mua nha nii nguoi,|
60,3643,611060740,6681116,Sách - Combo Ăn dặm kiểu Nhật + Ăn dặm không phải là cuộc chiến,Parenting & Family,189.0,4.0,34100871.0,tahoaitrang_1611.93,2163546387,1584610377.0,5.0,"Shop đóng hàng cẩn thận, giao hàng nhanh. Sách bên trong có in như này đã được shop giải thích do thiết kế nên yên tâm. Cảm ơn shop.",|
67,4079,1267569677,67143793,"Sách - 365 Chuyện Kể Trước Giờ Đi Ngủ - Những Câu Chuyện Phát Triển Chỉ Số Tình Cảm EQ, Thông minh IQ (Bộ 2 quyển)",Parenting & Family,97.0,1.0,62505350.0,nguyennhi1626,5734929738,1629416454.0,5.0,Sách hay và ý Nghĩa bìa và giấy rất đẹp. Hình ảnh và video mang tính chất lấy xu. Chúc shop buôn máy bán đaqts,|
73,4406,1267851547,55485833,Sách - Danh Nhân Thế Giới - Hêlen - Tái Bản 2019,Children's Books,79.0,4.0,9156802.0,mashiruroko,5107561467,1623900448.0,5.0,"Hàng đẹp y hình, khuôn mèo hơi méo nhưng mình bóp lại rồiiiiiiiiii",|
38,2302,4081638354,388971112,Sách - 200 Miếng bóc dán thông minh cho trẻ 2-6 tuổi,Comics & Manga,54.0,3.0,20084607.0,hoaithu.neu,5346583232,1626000751.0,5.0,"Sách tuyệt vời. Chất liệu giấy đẹp, màu sắc bắt mắt. Tìm hình dán vào ô trống, trẻ rất thích. Thiết kế ND hay. Rất rất nên mua, kích thích trí nhớ cho bé.",|
89,5399,5857642346,169799621,Sách - Luật Doanh Nghiệp Năm 2020,"Politics, Law & Social Sciences",38.0,3.0,14863006.0,thanhdung1012,4192625600,1614701356.0,5.0,Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm. Chắc chắn shop ok,|
65,3946,1357301769,55485833,Sách - Danh Nhân Thế Giới - Anhxtanh,Comics & Manga,101.0,1.0,219958016.0,otimqqph4ofkzuzrd1diow1uymze,5619067433,1628476319.0,5.0,Sách tốt. Trẻ con về rất thích ngjieenf ngâmcnddocjnsuootsnthoos,|
0,18,3654854465,308727507,Sách sổ tay kiến thức Sử Địa GDCD lớp 12,Education & School,1186.0,8.0,209746309.0,son2210.,6263007179,1634102918.0,5.0,"Xijnn luôn mua cả sip ms có 105k sipper hiền dễ tính ,sách đẹp oki",2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn|6*Shop phục vụ rất tốt|3*Rất đáng tiền|4*Thời gian giao hàng rất nhanh
48,2905,6965034095,42371108,Sách - Thực chiến đề thi THPT Quốc gia môn Toán,Education & School,56.0,2.0,37172548.0,h*****4,5961979462,1631457778.0,5.0,Sách chất lượng lắm nha. Nặng trĩu trĩu tri thức :_)) mà cũng khá dễ hỉu nên ok lém á. Cái sách bấm casio thì mình chưa ưng nội dung lắm hoy,|
33,2021,9685664988,40470612,Sách - World Teacher tập 4,Light Novels,106.0,4.0,275727417.0,m*****i,6058063356,1632216983.0,5.0,"Đóng gói ổn, sổ tay hơi dày làm mép sách bị cong. Thời gian giao hàng khá nhanh.",6*Shop phục vụ rất tốt
13,815,9657550594,303790953,Sách chiếu phim kì diệu gồm 5 bộ truyện ngụ ngôn đặc sắc TNBOOKS - Sách chiếu bóng,Others,94.0,3.0,44674430.0,h*****9,6042534548,1632062417.0,5.0,"Hi vọng bé thích, xem kiểu này tạo hứng thú và thay đổi cho bé thay vì đọc sách thông thường.",|
61,3675,4217925437,208116566,Sách Cuộc Chiến Siêu Nhiên Giữa Đời Thường - Tập 8,Light Novels,224.0,4.0,172040198.0,susam2k5,5807094855,1630051297.0,5.0,"Giấy của sách hơi dính nhau chắc là do bị nén trong thời gian dài, một số cuốn không được bọc, có một số cuốn thì bị ố, giao hàng nhanh",|
8,492,7919027893,45194730,[Mã LIFEAZ2010 giảm 10% đơn 150k] Sách - Những gì đã qua đừng nghĩ lại quá nhiều (tái bản),Classic Literature,526.0,4.0,160914353.0,k*****2,6321793328,1634523088.0,5.0,"Giao hàng đợt này cực kì lâu, nhắn tin thì check tin nhắn lâu cực kì. Mình mua tặng mà bạn mình về quê lun mới giao tới",|
51,3070,2620054182,67154937,Sách - Đọc vị mọi vấn đề của trẻ (tái bản 2021),Parenting & Family,347.0,8.0,172782285.0,l*****h,5329671698,1625888123.0,5.0,"truyện màu đẹp nhưng mỏng ở bên trong bằng giâý, truyện có cải biên nhưng chấp nhận được. Bé rất thích đọc.",|
59,3557,3662350067,45194730,[Mã LIFEAZ2010 giảm 10% đơn 150k] Sách - Năng Lực Tìm Kiếm,"Careers, Self Help & Personal Development",106.0,1.0,310522512.0,huong.227,6005595133,1631766407.0,5.0,"Sách đẹp, phẳng. Đọc qua nội dung thấy cũng ổn...................",|
41,2465,3556884949,270437751,Sách Ratman - Bản Sao Chép Lỗi,Classic Literature,40.0,3.0,163265670.0,p*****4,5318351228,1625806150.0,5.0,"Mua được 7 cuốn giá 9k, sách đóng gói cẩn thận, có bọc sách, rất hài lòng.",|
55,3335,6452919743,24232080,Sách - Vở luyện viết lớp 1 Tập 1 theo chương trình SGK mới Chân trời sáng tạo,Education & School,110.0,1.0,116118402.0,s*****2,4947455952,1622517293.0,5.0,"Shop giao hàng đầy đủ, nhận được hàng cũng thấy vui, nhưng đến địa chỉ shop bán thì ko có sách!!! Mua online thì có sách!!!!",|
34,2089,7008052382,58382622,Sách - Vở bài tập Toán 2 - tập hai,Education & School,383.0,9.0,118450897.0,b*****8,5054450605,1623424420.0,5.0,"Uống cacao ngon , cafe thơm tắm ok. . 🍒🍒🍒🍒 giao hàng nhanh shipper tốt. Chất lượng tốt , có dịp sẽ ủng hộ lại",|
